Start,End,A/C,A/C S/N,Position,AC-Type,Part Number,Part Description,S/N,PSN,Flight Cycles Start,Flight Cycles End,Flight Cycles Diff,Flight Hours Start,Flight Hours End,Flight Hours Diff
2023-07-01,2023-07-31,PWH,03626,ENGINE LH,32S,CFM56-5B4/3,GE ENGINE,573105,10869,7765,7915,150,13994.33333,14182.81667,188.4833333
2023-07-01,2023-07-31,PWA,03809,ENGINE RH,32S,CFM56-5B4/3,GE ENGINE,779344,6069,26257,26393,136,49038.75,49219.78333,181.0333333
2023-07-01,2023-07-31,PWC,05463,ENGINE RH,32S,CFM56-5B4/3,GE ENGINE,645446,4915,18484,18636,152,28409.7,28613.78333,204.0833333
2023-07-01,2023-07-31,PWF,05902,ENGINE LH,32S,CFM56-5B4/3,GE ENGINE,645930,15411,17343,17386,43,27534.16667,27600.76667,66.6
2023-07-01,2023-07-31,PWA,03809,ENGINE LH,32S,CFM56-5B4/3,GE ENGINE,699235,1904,20653,20789,136,39221.31667,39402.35,181.0333333
2023-07-01,2023-07-31,PWG,04366,ENGINE RH,32S,CFM56-5B4/3,GE ENGINE,699961,8861,18645,18791,146,37266.43333,37455.08333,188.65
2023-07-01,2023-07-31,PWC,05463,ENGINE LH,32S,CFM56-5B4/3,GE ENGINE,645445,2075,17378,17530,152,26707.93333,26912.01667,204.0833333
2023-07-01,2023-07-31,PWF,05902,ENGINE RH,32S,CFM56-5B4/3,GE ENGINE,645944,15432,17490,17533,43,27732.16667,27798.76667,66.6
2023-07-01,2023-07-31,PWD,05552,ENGINE RH,32S,CFM56-5B4/3,GE ENGINE,645568,2004,17599,17753,154,26699.46667,26891.9,192.4333333
2023-07-01,2023-07-31,PWD,05552,ENGINE LH,32S,CFM56-5B4/3,GE ENGINE,645567,2002,17198,17352,154,26096.15,26288.58333,192.4333333
2023-07-01,2023-07-31,PWE,03398,ENGINE RH,32S,CFM56-5B4/3,GE ENGINE,697621,8893,13105,13239,134,41542.03333,41722.1,180.0666667
2023-07-01,2023-07-31,PWG,04366,ENGINE LH,32S,CFM56-5B4/3,GE ENGINE,699960,8825,18341,18487,146,36542.31667,36730.96667,188.65
2023-07-01,2023-07-31,PWH,03626,ENGINE RH,32S,CFM56-5B4/3,GE ENGINE,569741,10871,8341,8491,150,14523.05,14711.53333,188.4833333
2023-07-01,2023-07-31,PWE,03398,ENGINE LH,32S,CFM56-5B4/3,GE ENGINE,697736,8895,14492,14626,134,44812.03333,44992.1,180.0666667
2023-08-01,2023-08-31,PWH,03626,ENGINE LH,32S,CFM56-5B4/3,GE ENGINE,573105,10869,7915,7975,60,14182.81667,14257.88333,75.06666667
2023-08-01,2023-08-31,PWA,03809,ENGINE RH,32S,CFM56-5B4/3,GE ENGINE,779344,6069,26393,26449,56,49219.78333,49291.76667,71.98333333
2023-08-01,2023-08-31,PWC,05463,ENGINE RH,32S,CFM56-5B4/3,GE ENGINE,645446,4915,18636,18702,66,28613.78333,28697.2,83.41666667
2023-08-01,2023-08-31,PWF,05902,ENGINE LH,32S,CFM56-5B4/3,GE ENGINE,645930,15411,17386,17442,56,27600.76667,27676.26667,75.5
2023-08-01,2023-08-31,PWA,03809,ENGINE LH,32S,CFM56-5B4/3,GE ENGINE,699235,1904,20789,20845,56,39402.35,39474.33333,71.98333333
2023-08-01,2023-08-31,PWG,04366,ENGINE RH,32S,CFM56-5B4/3,GE ENGINE,699961,8861,18791,18853,62,37455.08333,37539.46667,84.38333333
2023-08-01,2023-08-31,PWC,05463,ENGINE LH,32S,CFM56-5B4/3,GE ENGINE,645445,2075,17530,17596,66,26912.01667,26995.43333,83.41666667
2023-08-01,2023-08-31,PWF,05902,ENGINE RH,32S,CFM56-5B4/3,GE ENGINE,645944,15432,17533,17589,56,27798.76667,27874.26667,75.5
2023-08-01,2023-08-31,PWD,05552,ENGINE RH,32S,CFM56-5B4/3,GE ENGINE,645568,2004,17753,17817,64,26891.9,26974.26667,82.36666667
2023-08-01,2023-08-31,PWD,05552,ENGINE LH,32S,CFM56-5B4/3,GE ENGINE,645567,2002,17352,17416,64,26288.58333,26370.95,82.36666667
2023-08-01,2023-08-31,PWE,03398,ENGINE RH,32S,CFM56-5B4/3,GE ENGINE,697621,8893,13239,13299,60,41722.1,41803.86667,81.76666667
2023-08-01,2023-08-31,PWG,04366,ENGINE LH,32S,CFM56-5B4/3,GE ENGINE,699960,8825,18487,18549,62,36730.96667,36815.35,84.38333333
2023-08-01,2023-08-31,PWH,03626,ENGINE RH,32S,CFM56-5B4/3,GE ENGINE,569741,10871,8491,8551,60,14711.53333,14786.6,75.06666667
2023-08-01,2023-08-31,PWE,03398,ENGINE LH,32S,CFM56-5B4/3,GE ENGINE,697736,8895,14626,14686,60,44992.1,45073.86667,81.76666667
