A/C Group,Start,End,TAH acc.,TAC acc.,Oper.Days,Av.Hours/Day,Av.Cycles/Day,Av.Length/Cycle,Rev.Hours,Rev.Cycles
PAS A320 Fleet,2022-04-01,2022-04-30,71.23333333,31,13,5.483333333,2.384615385,2.3,45.35,26
PAS A320 Fleet,2022-05-01,2022-05-31,50.16666667,30,15,3.35,2,1.666666667,50.16666667,30
PAS A320 Fleet,2022-06-01,2022-06-30,144.85,88,30,4.833333333,2.933333333,1.65,144.85,88
PAS A320 Fleet,2022-07-01,2022-07-31,313.1833333,190,57,5.5,3.333333333,1.65,307.5666667,186
PAS A320 Fleet,2022-08-01,2022-08-31,412.5666667,236,64,6.45,3.6875,1.75,394.7,232
PAS A320 Fleet,2022-09-01,2022-09-30,486.75,280,70,6.95,4,1.733333333,486.75,280
PAS A320 Fleet,2022-10-01,2022-10-31,446.2833333,320,81,5.516666667,3.950617284,1.4,446.2833333,320
PAS A320 Fleet,2022-11-01,2022-11-30,380,266,69,5.5,3.855072464,1.433333333,380,266
PAS A320 Fleet,2022-12-01,2022-12-31,554.8166667,387,93,5.966666667,4.161290323,1.433333333,553.6,386
PAS A320 Fleet,2023-01-01,2023-01-31,461.65,336,79,5.85,4.253164557,1.366666667,461.65,336
PAS A320 Fleet,2023-02-01,2023-02-28,371.0333333,277,66,5.616666667,4.196969697,1.333333333,367.35,276
PAS A320 Fleet,2023-03-01,2023-03-31,558.65,404,99,5.65,4.080808081,1.383333333,528.55,397
PAS A320 Fleet,2023-04-01,2023-04-30,654.9,490,118,5.55,4.152542373,1.333333333,654.9,490
PAS A320 Fleet,2023-05-01,2023-05-31,814.0166667,616,157,5.183333333,3.923566879,1.316666667,814.0166667,616
PAS A320 Fleet,2023-06-01,2023-06-30,944.3666667,719,172,5.483333333,4.180232558,1.316666667,939,717
PAS A320 Fleet,2023-07-01,2023-07-31,1201.35,915,196,6.133333333,4.668367347,1.316666667,1188.933333,912
PAS A320 Fleet,2023-08-01,2023-08-31,554.4833333,424,91,6.1,4.659340659,1.3,554.4833333,424
