city,lat,lng
Jakarta,-6.175,106.8275
Surabaya,-7.2458,112.7378
Medan,3.5894,98.6739
Malang,-7.98,112.62
Bekasi,-6.2349,106.9923
Depok,-6.394,106.8225
Tangerang,-6.1783,106.6319
Denpasar,-8.65,115.2167
Sangereng,-6.2889,106.7181
Semarang,-6.9667,110.4167
Palembang,-2.9861,104.7556
Makassar,-5.1619,119.4362
Jepara,-6.5333,110.6667
Sumedang,-6.84,107.9208
Bagam,1.0833,104.0333
Cilacap,-7.7167,109.017
Bandar Lampung,-5.45,105.2667
Bogor,-6.5966,106.7972
Banjarmasin,-3.44236,114.763
Balikpapan,1.2658,116.8977
Padang,-0.786038,100.285
Pekanbaru,0.5252,101.4532
Pontianak,-0.0263,109.342
Yogyakarta,-7.7955,110.369
